Name,CandidatesForFusion,NumberOfBranches,|
MultiSource/Applications/aha/aha,1,71
MultiSource/Applications/ALAC/decode/alacconvert-decode,14,459
MultiSource/Applications/ALAC/encode/alacconvert-encode,14,459
MultiSource/Applications/Burg/burg,3,573
MultiSource/Applications/ClamAV/clamscan,75,9859
MultiSource/Applications/d/make_dparser,15,1843
MultiSource/Applications/hbd/hbd,8,421
MultiSource/Applications/hexxagon/hexxagon,8,300
MultiSource/Applications/JM/ldecod/ldecod,62,3893
MultiSource/Applications/JM/lencod/lencod,178,8973
MultiSource/Applications/kimwitu++/kc,229,4890
MultiSource/Applications/lambda-0.1.3/lambda,2,612
MultiSource/Applications/lemon/lemon,*,855
MultiSource/Applications/lua/lua,23,1684
MultiSource/Applications/minisat/minisat,27,269
MultiSource/Applications/oggenc/oggenc,38,2469
MultiSource/Applications/sgefa/sgefa,*,219
MultiSource/Applications/SIBsim4/SIBsim4,2,699
MultiSource/Applications/siod/siod,54,1211
MultiSource/Applications/SPASS/SPASS,581,7446
MultiSource/Applications/spiff/spiff,4,483
MultiSource/Applications/sqlite3/sqlite3,98,6724
MultiSource/Applications/treecc/treecc,29,1570
MultiSource/Applications/viterbi/viterbi,*,49
MultiSource/Benchmarks/7zip/7zip-benchmark,58,17735
MultiSource/Benchmarks/ASC_Sequoia/AMGmk/AMGmk,2,206
MultiSource/Benchmarks/ASC_Sequoia/CrystalMk/CrystalMk,*,31
MultiSource/Benchmarks/ASC_Sequoia/IRSmk/IRSmk,*,11
MultiSource/Benchmarks/ASCI_Purple/SMG2000/smg2000,54,2815
MultiSource/Benchmarks/BitBench/drop3/drop3,*,29
MultiSource/Benchmarks/BitBench/five11/five11,*,12
MultiSource/Benchmarks/BitBench/uudecode/uudecode,*,14
MultiSource/Benchmarks/BitBench/uuencode/uuencode,1,11
MultiSource/Benchmarks/Bullet/bullet,375,4731
MultiSource/Benchmarks/Fhourstones/fhourstones,*,83
MultiSource/Benchmarks/Fhourstones-3.1/fhourstones3.1,*,65
MultiSource/Benchmarks/FreeBench/analyzer/analyzer,*,121
MultiSource/Benchmarks/FreeBench/distray/distray,*,33
MultiSource/Benchmarks/FreeBench/fourinarow/fourinarow,3,144
MultiSource/Benchmarks/FreeBench/mason/mason,*,39
MultiSource/Benchmarks/FreeBench/neural/neural,*,82
MultiSource/Benchmarks/FreeBench/pcompress2/pcompress2,1,71
MultiSource/Benchmarks/FreeBench/pifft/pifft,9,288
MultiSource/Benchmarks/llubenchmark/llu,*,15
MultiSource/Benchmarks/mafft/pairlocalalign,17,4651
MultiSource/Benchmarks/MallocBench/cfrac/cfrac,2,483
MultiSource/Benchmarks/MallocBench/espresso/espresso,5,2264
MultiSource/Benchmarks/MallocBench/gs/gs,13,2416
MultiSource/Benchmarks/McCat/01-qbsort/qbsort,1,26
MultiSource/Benchmarks/McCat/03-testtrie/testtrie,1,26
MultiSource/Benchmarks/McCat/04-bisect/bisect,*,24
MultiSource/Benchmarks/McCat/05-eks/eks,1,86
MultiSource/Benchmarks/McCat/08-main/main,*,61
MultiSource/Benchmarks/McCat/09-vor/vor,13,159
MultiSource/Benchmarks/McCat/12-IOtest/iotest,*,4
MultiSource/Benchmarks/McCat/15-trie/trie,*,28
MultiSource/Benchmarks/McCat/17-bintr/bintr,*,24
MultiSource/Benchmarks/McCat/18-imp/imp,*,221
MultiSource/Benchmarks/mediabench/adpcm/rawcaudio/rawcaudio,*,24
MultiSource/Benchmarks/mediabench/adpcm/rawdaudio/rawdaudio,*,24
MultiSource/Benchmarks/mediabench/g721/g721encode/encode,*,93
MultiSource/Benchmarks/mediabench/gsm/toast/toast,*,398
MultiSource/Benchmarks/mediabench/jpeg/jpeg-6a/cjpeg,7,1993
MultiSource/Benchmarks/mediabench/mpeg2/mpeg2dec/mpeg2decode,24,721
MultiSource/Benchmarks/MiBench/automotive-basicmath/automotive-basicmath,*,21
MultiSource/Benchmarks/MiBench/automotive-bitcount/automotive-bitcount,*,21
MultiSource/Benchmarks/MiBench/automotive-susan/automotive-susan,*,329
MultiSource/Benchmarks/MiBench/consumer-jpeg/consumer-jpeg,9,1911
MultiSource/Benchmarks/MiBench/consumer-lame/consumer-lame,16,1593
MultiSource/Benchmarks/MiBench/consumer-typeset/consumer-typeset,55,9937
MultiSource/Benchmarks/MiBench/network-dijkstra/network-dijkstra,*,16
MultiSource/Benchmarks/MiBench/network-patricia/network-patricia,6,57
MultiSource/Benchmarks/MiBench/office-ispell/office-ispell,7,1144
MultiSource/Benchmarks/MiBench/office-stringsearch/office-stringsearch,1,47
MultiSource/Benchmarks/MiBench/security-blowfish/security-blowfish,1,63
MultiSource/Benchmarks/MiBench/security-rijndael/security-rijndael,1,53
MultiSource/Benchmarks/MiBench/security-sha/security-sha,*,19
MultiSource/Benchmarks/MiBench/telecomm-adpcm/telecomm-adpcm,*,24
MultiSource/Benchmarks/MiBench/telecomm-CRC32/telecomm-CRC32,*,6
MultiSource/Benchmarks/MiBench/telecomm-FFT/telecomm-fft,*,25
MultiSource/Benchmarks/MiBench/telecomm-gsm/telecomm-gsm,*,398
MultiSource/Benchmarks/nbench/nbench,10,463
MultiSource/Benchmarks/NPB-serial/is/is,*,33
MultiSource/Benchmarks/Olden/bh/bh,*,197
MultiSource/Benchmarks/Olden/bisort/bisort,*,20
MultiSource/Benchmarks/Olden/em3d/em3d,*,38
MultiSource/Benchmarks/Olden/health/health,5,30
MultiSource/Benchmarks/Olden/mst/mst,*,34
MultiSource/Benchmarks/Olden/perimeter/perimeter,3,44
MultiSource/Benchmarks/Olden/power/power,1,38
MultiSource/Benchmarks/Olden/treeadd/treeadd,*,5
MultiSource/Benchmarks/Olden/tsp/tsp,7,36
MultiSource/Benchmarks/Olden/voronoi/voronoi,1,50
MultiSource/Benchmarks/PAQ8p/paq8p,39,991
MultiSource/Benchmarks/Prolangs-C/agrep/agrep,*,871
MultiSource/Benchmarks/Prolangs-C/allroots/allroots,4,18
MultiSource/Benchmarks/Prolangs-C/assembler/assembler,2,321
MultiSource/Benchmarks/Prolangs-C/bison/mybison,1,896
MultiSource/Benchmarks/Prolangs-C/cdecl/cdecl,*,221
MultiSource/Benchmarks/Prolangs-C/compiler/compiler,24,346
MultiSource/Benchmarks/Prolangs-C/fixoutput/fixoutput,*,17
MultiSource/Benchmarks/Prolangs-C/football/football,13,558
MultiSource/Benchmarks/Prolangs-C/gnugo/gnugo,2,444
MultiSource/Benchmarks/Prolangs-C/loader/loader,3,133
MultiSource/Benchmarks/Prolangs-C/simulator/simulator,5,597
MultiSource/Benchmarks/Prolangs-C/TimberWolfMC/timberwolfmc,30,4160
